Date,Open,High,Low,Close,Volume
2025-04-07,8815.970467747307,9446.243634817884,8798.29925745561,9026.0615234375,13795600
2025-04-08,9377.522071245301,9836.97352950983,9377.522071245301,9661.2431640625,11425300
2025-04-09,9461.951022561138,9565.033078731392,9005.44477380715,9233.20703125,11155800
2025-04-10,10013.686377022847,10332.749913545633,9832.06559469449,10313.115234375,8557300
2025-04-11,9728.98299088801,9910.603763169976,9603.321051146973,9856.6083984375,8428900
2025-04-14,10062.772894965277,10308.206380208334,10052.955555555556,10160.9462890625,4269300
2025-04-15,10372.018385530386,10372.018385530386,10102.041570005458,10116.767578125,2888500
2025-04-16,10033.320501198332,10067.68118784627,9728.001256983784,9856.6083984375,4090400
2025-04-17,9775.124359405208,10156.037109375,9750.58101211334,10156.037109375,3582900
2025-04-18,10126.585687473633,10190.398394180931,10077.49899000648,10180.5810546875,2673600
2025-04-21,10102.04228529923,10170.763661389703,10028.412239488012,10057.8642578125,3148200
2025-04-22,9949.873221552518,10043.13794341216,9846.791160549754,9989.142578125,3561700
2025-04-23,10313.114841968465,10381.836216450882,10136.402736156535,10224.7587890625,4159600
2025-04-24,10681.265170454546,10833.433929776278,10563.457098721592,10799.0732421875,8524500
2025-04-25,10995.418859649122,11206.491632401316,10887.42813870614,11191.765625,6862200
2025-04-28,11378.295705003826,11397.93038266561,11157.405581308756,11226.126953125,4523200
2025-04-30,11334.117946131393,11638.455457027949,11289.939920356086,11613.912109375,7511400
2025-05-01,11707.176745349167,11923.158203125,11653.181380905207,11923.158203125,7359200
2025-05-02,12001.696398096177,12310.942562955097,11942.792366694479,12134.23046875,8348900
2025-05-07,12144.048741143724,12247.13080402328,12021.331999620446,12124.4140625,8420500
2025-05-08,12193.134963862312,12227.49565015339,11800.44140625,11800.44140625,6591700
2025-05-09,11697.359447292063,12144.048372891551,11525.556014369184,11604.0947265625,12559500
2025-05-12,11751.354735063147,11751.354735063147,11294.848473425356,11368.478515625,4911100
2025-05-13,11766.080166792482,11947.700928649521,11609.00275113234,11785.71484375,6146400
2025-05-14,11780.807291666666,11869.163346354168,11481.37843967014,11486.287109375,4278500
2025-05-15,11314.483046892066,11407.747766150613,11123.044938940313,11235.9443359375,5201200
2025-05-16,11186.85704643538,11466.651189325601,11123.044347179715,11427.3818359375,4188400
2025-05-19,11383.20469909773,11417.565385985909,11226.127273323204,11407.748046875,3076800
2025-05-20,11437.199666799923,11471.560352494173,11260.487568943787,11319.3916015625,3846000
2025-05-21,11339.026584345871,11348.843923379938,11024.871735255769,11059.232421875,3974200
2025-05-22,11044.5066179548,11255.579411097935,10916.881208147322,10995.419921875,3957200
2025-05-23,11240.853097689354,11584.4599609375,11123.04503028999,11584.4599609375,5781700
2025-05-26,11658.089267525074,11805.349342483285,11471.559839244672,11746.4453125,4795100
2025-05-27,11751.354070917401,11986.970192640056,11692.450040486738,11982.0615234375,4107400
2025-05-28,11977.154079861111,12198.044216579861,11864.254676649305,11928.0673828125,6278300
2025-05-29,12124.413975377636,12144.04865388027,11932.975859976936,12104.779296875,4968400
2025-05-30,11810.258416508239,11903.523133845585,11618.8203125,11618.8203125,11449100
2025-06-02,11569.733220502741,11618.819912146791,11343.934438940109,11530.4638671875,5194700
2025-06-03,11761.172090436618,11770.98942941027,11481.3779296875,11481.3779296875,4593900
2025-06-04,11878.980425131824,11893.70643392331,11697.359650036833,11869.1630859375,6499200
2025-06-05,11790.624301160338,11962.427736023206,11579.551509757384,11633.546875,5145900
2025-06-06,11957.518812670622,11986.970829450598,11638.455297554206,11687.5419921875,5133100
2025-06-09,11687.542267856219,11864.254372704108,11667.907589539787,11859.345703125,4118800
2025-06-10,11766.080605734975,11957.518713212516,11662.998547862453,11883.888671875,5218300
2025-06-11,11613.911872454993,11633.54655017681,11304.665698336368,11451.92578125,8474600
2025-06-12,11712.084851234635,11766.080213080226,11564.82477347393,11579.55078125,4948500
2025-06-13,11653.180909132989,11702.267602094795,11402.838775027772,11599.185546875,5228500
2025-06-16,11800.44156648964,11962.427661204349,11623.729463164505,11726.8115234375,4136000
2025-06-17,11780.806621784566,12212.76953125,11707.176580398413,12212.76953125,6426100
2025-06-18,12296.217549181632,13076.696028351245,12296.217549181632,13017.7919921875,11609300
2025-06-19,12904.892170580273,13253.407706567796,12880.348822975517,13032.517578125,7710700
2025-06-20,12860.714202425374,12895.074889225745,12497.47265625,12497.47265625,8246200
2025-06-23,12482.74638432937,12507.289731526243,12256.947590118143,12438.568359375,5145600
2025-06-24,12733.088985041957,12742.906324274834,12507.290182685778,12649.6416015625,3948300
2025-06-25,12718.362121147862,13223.955057650459,12649.6407511378,13111.0556640625,8449800
2025-06-26,13155.233487215908,13327.036909623579,13047.242764559658,13174.8681640625,6440700
2025-06-27,13282.859812052917,13390.850542232209,13135.59972544479,13381.033203125,6649900
2025-06-30,13543.019413752927,13651.01014485208,13459.572030630854,13626.466796875,6680400
2025-07-01,13552.836742818667,13557.745412410415,13169.960514662254,13184.6865234375,4228900
2025-07-02,12890.16642578125,12983.43114858774,12733.088997896635,12762.541015625,5284400
2025-07-03,12890.166905779224,13061.970348925559,12767.4501606747,12870.5322265625,5053300
2025-07-04,13032.516756924715,13066.87744140625,12899.982688210226,12958.88671875,2676800
2025-07-07,12865.622003728693,12978.52139559659,12841.078657670454,12958.88671875,2000100
2025-07-08,12762.540724415485,12860.714114603297,12590.737291586816,12806.71875,4612500
2025-07-09,12772.357800166057,12806.718486023537,12517.106990939064,12747.814453125,4198100
2025-07-10,12693.819215022428,12737.997240132714,12414.02505599061,12448.3857421875,5167700
2025-07-11,12517.106645860022,12571.102007861771,12414.02459112941,12453.2939453125,3087700
2025-07-14,12330.577818504804,12355.121166073484,12129.322368441628,12261.8564453125,3494800
2025-07-15,12497.473234000749,12522.016582849925,12242.22240596931,12296.2177734375,2363700
2025-07-16,12374.756250538474,12512.199001436958,12222.587490615153,12463.1123046875,3319900
2025-07-17,12684.001750818252,12747.814453125,12595.645701470447,12747.814453125,3894700
2025-07-18,12762.54088461353,12836.17092817861,12659.45882362242,12733.0888671875,3286900
2025-07-22,12860.714737354085,12983.431481031128,12531.833864299611,12615.28125,4173900
2025-07-23,12649.64038161406,12737.99642618878,12448.38494674942,12703.6357421875,4544600
2025-07-24,12939.252041903408,13042.334095348011,12733.087935014204,12958.88671875,4034300
2025-07-25,12826.3531903569,13086.512669533675,12610.371735945992,12644.732421875,3978400
2025-07-28,12880.348895484623,12880.348895484623,12546.559366180907,12610.3720703125,3064400
2025-07-29,12526.924557403434,12625.097947351736,12487.655201424112,12580.919921875,2563200
2025-07-30,12639.824501004596,12644.733170713724,12458.20372176686,12482.7470703125,3059000
2025-07-31,12448.38578605201,12502.381150265957,12252.039007092199,12458.203125,4314200
2025-08-01,12585.828604170802,12703.636672228562,12301.125773031212,12364.9384765625,4807400
2025-08-04,12271.674118733477,13209.230021404715,12266.765449085984,12998.1572265625,11192700
2025-08-05,13390.850083278978,13405.576091435078,13007.973871220416,13169.9599609375,6151200
2025-08-06,12998.156334036536,13341.763185767108,12993.247664726097,13233.7724609375,4046400
2025-08-07,13292.677208287896,13577.380043620502,13140.508451472193,13503.75,5145600
2025-08-08,13798.269871057015,14308.771495599856,13675.553134388061,14092.7900390625,9143300
2025-08-12,14073.155594253943,14082.97293335004,13724.640056342527,13925.8955078125,6322700
2025-08-13,13930.804568465412,14097.699337784588,13901.352550350262,14014.251953125,5275700
2025-08-14,14186.054474006083,14308.771208210288,13665.735520980254,13920.986328125,5995300
2025-08-15,13940.620998806424,14186.05446709527,13876.808297051324,14136.9677734375,3764900
2025-08-18,14136.967438587513,14524.752309298767,14048.61139209634,14387.3095703125,4388200
2025-08-19,14298.954794904772,14333.315482705779,13842.448514119966,14014.251953125,4671200
2025-08-20,13862.082670043415,13945.530051555717,13513.567135492041,13567.5625,4471300
2025-08-21,13552.836387425215,13567.562395814304,13356.489608904023,13435.0283203125,3086100
2025-08-22,13547.928537767986,13636.284593449082,13474.298491367073,13508.6591796875,2893600
2025-08-25,13636.283563210227,13680.461587713067,13420.302110085227,13498.8408203125,3436600
2025-08-26,13410.484263805452,13498.840309467421,13277.9501953125,13277.9501953125,3348200
2025-08-27,13155.233776285046,13223.955146758177,12968.704342143692,13130.6904296875,4065800
2025-08-28,13076.695792419025,13243.590558538486,13037.426435685034,13184.6865234375,5400000
2025-08-29,13057.060590897352,13199.412003354502,12993.247888761387,13066.8779296875,3503300
2025-09-01,12949.070137238594,12978.522154230039,12772.358035289924,12909.80078125,3112800
2025-09-02,12934.344934016854,12998.157641471205,12836.171537933235,12870.5322265625,2280200
2025-09-03,12772.358324291778,12983.431117506438,12747.81497624356,12865.623046875,3603000
2025-09-04,12909.800465519267,13125.781918174342,12895.074457383695,13057.060546875,3676600
2025-09-05,13125.78178501201,13145.416462326912,12909.800334548087,13027.6083984375,2841600
2025-09-08,13130.690786957828,13567.562368280911,13047.243406255666,13538.1103515625,5227800
2025-09-09,13744.275239947234,13773.72725831855,13489.0244140625,13489.0244140625,4039300
2025-09-10,13410.484945782724,13616.649062811593,13331.946234533629,13538.1103515625,3408200
2025-09-11,13665.736351590105,14028.977906912543,13489.024243595406,13891.53515625,5802100
2025-09-12,13970.073286077948,14033.885989071277,13788.452516020014,13979.890625,4940300
2025-09-16,13714.822880274502,13773.726915551271,13415.394034284256,13523.384765625,5856000
2025-09-17,13469.389329169746,13523.384694556358,13273.042545945696,13287.7685546875,4333200
2025-09-18,13184.68561612419,13243.589647171655,12850.896106855223,12875.439453125,6126100
2025-09-19,12723.271765136718,12811.62781906128,12546.559657287598,12566.1943359375,11173100
2025-09-22,12993.24862958165,13066.878674705838,12463.1123046875,12463.1123046875,5838200
2025-09-24,12566.193702290077,12890.165883677242,12487.654991650763,12860.7138671875,5542200
2025-09-25,12737.997434383522,12811.627477356837,12600.5546875,12600.5546875,4131400
2025-09-26,12566.194230769232,12944.161791616587,12551.468221905048,12762.541015625,4750500
2025-09-29,12764.510375976562,12798.982433319092,12513.356815338135,12606.923828125,4054100
2025-09-30,12606.924053104256,12774.359763184548,12459.186661856942,12611.8486328125,4416200
2025-10-01,12616.773197866587,12867.926762695313,12547.82908203125,12803.9072265625,5492000
2025-10-02,12631.54702853075,12715.264884080465,12434.563839002005,12592.150390625,5274700
2025-10-03,12508.431791814772,12547.828427379542,12365.618987892476,12469.03515625,3347800
2025-10-06,12508.432231952002,12774.359531371452,12262.203251008064,12670.943359375,7075600
2025-10-07,12680.792438993123,12754.6611328125,12542.904210530285,12754.6611328125,3182600
2025-10-08,12902.398679264792,13030.437750127725,12631.546798593203,12651.2451171875,3765100
2025-10-09,12700.49061952539,12730.038096732505,12395.16668838519,12473.9599609375,4382200
2025-10-10,12439.487992657449,12488.733788352847,12198.18359375,12198.18359375,4091200
2025-10-14,11971.65263829385,12350.84525579637,11937.180582157258,12212.95703125,4698400
2025-10-15,12306.524337981922,12429.63882715741,12227.731064909609,12326.22265625,3187700
2025-10-16,12173.560860339505,12188.334599247684,11942.1056174447,11966.728515625,4702900
2025-10-17,11907.633322317311,12336.071742102922,11814.066311099765,12281.9013671875,7336500
2025-10-20,12577.376346616304,12769.434951752573,12537.979709665273,12670.943359375,4976500
2025-10-21,12902.39887710064,13040.287109375,12651.245311172346,13040.287109375,6753500
2025-10-22,13099.381848233023,13109.231007517408,12863.002025407764,12907.3232421875,5433300
2025-10-23,12661.093745510057,12902.398138170498,12636.470848299808,12853.15234375,3198900
2025-10-24,12882.700131425234,12927.021347473716,12646.3203125,12646.3203125,2999600
2025-10-27,12666.018324952107,12991.040568127395,12666.018324952107,12853.15234375,2816000
